data,hora,taxa
2022/11/17,19:25:47,13.255860952408161
2022/11/17,19:25:51,13.836581476794224
2022/11/17,19:25:53,13.56288754916304
2022/11/17,19:25:55,14.091357203357786
2022/11/17,19:25:58,13.171476179128495
2022/11/17,19:26:00,13.348100218804529
2022/11/17,19:26:03,13.985928042492356
2022/11/17,19:26:05,13.547669450151691
2022/11/17,19:26:08,13.986271055822131
2022/11/17,19:26:10,13.43049529310244
2022/11/17,19:28:17,13.285935229369862
2022/11/17,19:28:21,13.42452896833907
2022/11/17,19:28:24,13.401937644166098
2022/11/17,19:28:26,13.386431657705863
2022/11/17,19:28:28,13.285272577567788
2022/11/17,19:28:31,13.153834259775184
2022/11/17,19:28:33,13.6365196331496
2022/11/17,19:28:36,13.570138443718136
2022/11/17,19:28:39,14.066203861214316
2022/11/17,19:28:41,13.216802013338704
